Gun,Chip,Bib,City,State,Age,Gender
5694,5680,4166,Louisville,CO,29,F
5686,5680,4684,The Colony,TX,22,M
5703,5681,7205,Cedar Park,TX,17,M
5696,5681,288,Round Rock,TX,47,M
6328,5682,6635,Austin,TX,50,M
5706,5682,5902,San Antonio,TX,41,M
5708,5682,6036,Austin,TX,24,F
5708,5683,7328,Austin,TX,27,M
5861,5683,5730,Austin,TX,43,M
5711,5684,6966,Austin,TX,24,F
5706,5685,753,Austin,TX,53,M
5766,5686,7369,Austin,TX,30,F
5699,5687,2489,Austin,TX,36,F
5693,5688,7310,Austin,TX,28,M
5705,5689,5837,Dublin 14,NONUS,43,M
5725,5692,933,Austin,TX,58,M
5702,5692,3565,San Antonio,TX,40,M
5718,5693,7566,Atlanta,GA,29,M
5743,5693,5411,San Antonio,TX,26,M
5826,5693,1568,Austin,TX,24,F
5720,5695,1181,Austin,TX,39,M
5749,5695,5233,Austin,TX,46,M
5717,5695,5637,Austin,TX,46,M
5712,5696,7694,S?o Paulo,NONUS,50,M
5710,5696,6342,Austin,TX,36,F
5734,5698,6508,Austin,TX,28,F
5714,5699,6350,Boulder,CO,53,M
5713,5699,6515,Austin,TX,50,M
5707,5700,6398,Austin,TX,39,M
5715,5701,6566,Austin,TX,36,M
5742,5702,6118,Austin,TX,33,F
5724,5706,7539,Austin,TX,52,M
5728,5707,1040,Round Rock,TX,52,M
5738,5707,7713,Helotes,TX,49,M
5817,5709,7016,Austin,TX,25,M
5920,5712,362,Little Elm,TX,32,M
5747,5714,483,Round Rock,TX,25,M
5760,5721,5919,San Antonio,TX,32,F
5758,5722,6887,Austin,TX,27,M
5741,5723,5194,Austin,TX,42,M
5742,5723,1501,Austin,TX,49,M
6277,5724,5278,Brooklyn,NY,28,M
5741,5727,7223,Cedar Park,TX,18,M
5757,5732,7311,Austin,TX,48,M
5739,5733,513,Austin,TX,43,F
6060,5734,6927,Austin,TX,40,M
5771,5734,5813,Mequon,WI,29,M
5811,5735,7433,Austin,TX,40,M
5759,5735,4602,Austin,TX,47,M
5855,5737,3653,Cedar Park,TX,30,F
6145,5738,5514,Austin,TX,25,M
6274,5739,5186,Brooklyn,NY,28,M
5754,5740,4867,Hutto,TX,50,M
5750,5740,36,Leander,TX,42,M
5750,5740,4009,Austin,TX,46,M
5770,5745,3628,Austin,TX,49,M
6092,5745,6507,Leander,TX,26,M
5875,5746,1307,Georgetown,TX,44,M
5765,5747,4918,Durham,NC,36,F
5762,5750,7136,San Antonio,TX,32,F
5874,5752,5055,San Antonio,CA,38,F
5762,5752,6531,Midland,TX,29,F
5762,5752,7115,Midland,TX,57,M
5771,5754,2150,Ann Arbor,MI,70,M
5770,5754,2331,Austin,TX,30,F
5781,5756,6978,Denver,CO,33,F
5777,5756,2038,Austin,TX,32,F
5771,5759,609,Austin,TX,26,M
5776,5760,1065,Round Rock,TX,41,M
5767,5760,5879,Austin,TX,48,M
5804,5761,7575,Austin,TX,26,M
5779,5761,7150,Austin,TX,27,F
5814,5764,4959,Austin,TX,21,M
5794,5764,4641,Austin,TX,49,M
5785,5764,2177,Austin,TX,38,M
5790,5764,6339,Quitman,TX,50,M
5922,5765,3091,Austin,TX,41,M
5799,5768,7514,Okc,OK,42,M
5802,5769,5618,Austin,TX,52,M
6440,5770,7737,Austin,TX,31,M
5805,5771,7529,Boulder,CO,44,M
6576,5772,2524,Austin,TX,29,M
5794,5772,6380,Austin,TX,60,M
5792,5773,3037,Austin,TX,45,M
5981,5776,6585,Austin,TX,28,F
5828,5776,5195,Austin,TX,15,F
5821,5777,7412,Austin,TX,49,M
5790,5777,793,Austin,TX,41,M
5854,5778,6889,Austin,TX,27,M
5820,5790,1004,Round Rock,TX,54,M
5806,5794,6603,Houston,TX,34,M
5840,5795,1743,Austin,TX,43,F
5810,5795,1479,Austin,TX,52,M
5816,5798,5532,Austin,TX,51,F
5810,5798,2010,Austin,TX,31,F
5843,5799,663,Austin,TX,52,M
5823,5801,4393,Dallas,TX,37,F
5843,5801,6474,Austin,TX,37,M
5993,5803,2468,Austin,TX,26,M
5816,5803,5980,Corpus Christi,TX,34,F
5825,5806,3022,Austin,TX,46,M
5825,5806,7089,Austin,TX,27,M
5849,5806,6694,Austin,TX,34,M
5873,5809,1682,Austin,TX,42,F
5893,5810,6748,Austin,TX,35,M
5829,5813,1862,Austin,TX,49,M
5837,5813,7642,Austin,TX,41,M
5843,5814,923,Austin,TX,41,F
5855,5816,2615,Kyle,TX,27,M
5948,5817,7023,Austin,TX,27,M
5860,5817,4676,Buda,TX,40,M
5832,5818,7148,Round Rock,TX,28,M
5890,5819,5150,Austin,TX,32,M
5855,5822,5464,Austin,TX,46,M
6090,5822,1594,Austin,TX,41,M
5833,5823,864,San Antonio,TX,45,M
5839,5826,6822,Austin,TX,64,M
6130,5829,4796,Austin,TX,29,F
5946,5835,5552,Austin,TX,31,M
5848,5835,6496,Wimberley,TX,45,M
5877,5837,2956,Austin,TX,45,M
5916,5838,6399,Buda,TX,44,M
5865,5838,6436,Austin,TX,55,M
5864,5840,1506,Austin,OK,38,M
5881,5841,2380,Austin,TX,49,F
5892,5844,3727,Austin,TX,46,F
5879,5847,3946,Austin,TX,30,M
5891,5848,6119,Abilene,TX,24,M
5871,5849,6034,Laredo,TX,30,M
5914,5851,6742,Round Rock,TX,31,M
5884,5851,7748,Leesburg,VA,41,M
5912,5854,6052,Round Rock,TX,18,M
